,Product_Name,Brand,Capacity_kg,Machine_Type,Load_type,Color,Price,Discount_%,Reviews_Count
163,Voltas Beko 8 kg Fully Automatic Top Load Washing Machine,Voltas Beko,8,Fully Automatic,Top Load,with In-built Heater Grey,14490,48,828
164,Voltas Beko by A Tata Product 7 kg Fully Automatic Front Load Washing Machine,Voltas Beko by A Tata Product,7,Fully Automatic,Front Load,Grey,21689,36,6
165,"Whirlpool 9.5 kg 5 Star,With Hard water wash Fully Automatic Top Load Washing Machine",Whirlpool,9.5,Fully Automatic,Top Load,with In-built Heater Grey,16567,9,2192
166,Samsung 8.5 kg Semi Automatic Top Load Washing Machine,Samsung,8.5,Semi Automatic,Top Load,"Blue, Grey",11299,33,46
167,LG 7.5 kg Semi Automatic Top Load Washing Machine,LG,7.5,Semi Automatic,Top Load,Purple,,,172
168,"Whirlpool 9 kg Ozone Technology 5 Star Inverter 100+ Tough Stains, 1200 RPM, Supreme Care Fully Automatic Front Load Washing Machine",Whirlpool,9,Fully Automatic,Front Load,"with In-built Heater Black, Grey",34800,35,2773
169,"Lloyd by Havells 7 kg with 16 Wash Programs, 90� C Self Cleaning & high-Speed Spinning Fully Automatic Front Load Washing Machine",Lloyd by Havells,7,Fully Automatic,Front Load,with In-built Heater White,26249,33,108
170,"Whirlpool 8 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi Automatic Top Load Washing Machine",Whirlpool,8,Semi Automatic,Top Load,"Black, Grey",12490,23,44382
171,"LG 11 kg 5 Star with Roller Jet Pulsator with Soak,� Wind Jet Dry and Rat Away, 8 Kg (Spin Tub Capacity) Semi Automatic Top Load Washing Machine",LG,11,Semi Automatic,Top Load,Black,18990,28,5664
172,"Godrej 7 kg Tri- Roto Pulsator, Spin Shower, Drying at 1400 RPM Speed, Semi Automatic Top Load Washing Machine",Godrej,7,Semi Automatic,Top Load,Grey,9590,31,5751
173,Voltas Beko 8 kg Semi Automatic Top Load Washing Machine,Voltas Beko,8,Semi Automatic,Top Load,Blue,10990,45,528
174,Panasonic 7 kg Wi-Fi Enabled Smart Washing Machine,Panasonic,7,Fully Automatic,Top Load,Fully Automatic Top Load Silver,7290,39,82
175,Voltas Beko 6 kg Semi Automatic Top Load Washing Machine,Voltas Beko,6,Semi Automatic,Top Load,"Maroon, White",19990,47,23446
176,"Godrej 6 kg 5 Star, AI Tech, Steam Wash Fully Automatic Front Load Washing Machine",Godrej,6,Fully Automatic,Front Load,with In-built Heater Grey,10090,36,1421
177,MOTOROLA 8 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine,MOTOROLA,8,Semi Automatic,Top Load,Black,30990,17,18200
178,"Whirlpool 8 kg 5 Star Inverter Steam Technology, 100+ Tough Stains, 6th Sense Soft Move, Supreme Care Fully Automatic Front Load Washing Machine",Whirlpool,8,Fully Automatic,Front Load,with In-built Heater Grey,12290,29,2773
179,Samsung 8 kg Semi Automatic Top Load Washing Machine,Samsung,8,Semi Automatic,Top Load,Red,6490,10,104
180,Unknown,ONIDA,9,Unknown,Unknown,Unknown,26499,53,31249
181,Voltas Beko 8 kg Fully Automatic Front Load Washing Machine,Voltas Beko,8,Fully Automatic,Front Load,with In-built Heater Grey,16990,10,37
